age,income,pincodeRisk,duplicatePan,nameMatch,occupationRisk,label,firstName,lastName,panNumber,aadhaarNumber,mobile,email,occupation,pincode
65,80097,0,0,1,0,0,Sneha,Sharma,CGPOS7442A,714227133320,9593586857,sneha.sharma47@yahoo.com,Teacher,562768
32,34476,0,0,1,0,0,Simran,Patel,RBQNG4296H,687203229836,9861175745,simran.patel371@yahoo.com,Student,802633
49,31831,0,1,1,1,1,Karan,Yadav,ZNZWA7652U,321077975168,7175750309,karan.yadav900@outlook.com,Unknown,118116
33,28645,0,0,1,0,0,Pooja,Sharma,OGWLF5723V,645123522062,6802621954,pooja.sharma804@hotmail.com,Doctor,127895
24,33409,0,1,1,0,1,Isha,Verma,UCEND1480Z,850989981424,6103972677,isha.verma678@hotmail.com,Teacher,803480
36,65068,0,0,1,1,0,Karan,Verma,NBNWB0849S,256455927236,8499065055,karan.verma136@outlook.com,Unknown,115570
41,82707,0,1,1,0,0,Priya,Verma,HRYDD1526W,368529068031,8147519610,priya.verma379@yahoo.com,Farmer,404539
20,88808,0,0,1,0,0,Isha,Gupta,JOWZT9217F,807398882718,9284372013,isha.gupta886@gmail.com,Student,708788
59,141537,0,0,0,0,0,Rahul,Kumar,GCLSI6535I,045869714996,6733442149,rahul.kumar694@yahoo.com,Trader,806830
53,8106,0,0,1,0,0,Simran,Jain,NUYTR2660Y,238109674857,9426077141,simran.jain981@hotmail.com,SelfEmployed,602456
33,39813,1,0,1,1,1,Amit,Yadav,PSNVO8742H,827424723801,9670454249,amit.yadav599@gmail.com,Cash,901455
18,100211,0,0,1,0,0,Raj,Mehta,MHMKR7789T,595604812343,9294847092,raj.mehta71@gmail.com,Farmer,607894
30,13342,1,0,1,0,0,Rohit,Verma,JPZSU1359S,693706617861,6343538819,rohit.verma651@hotmail.com,Student,921165
29,144772,0,0,1,1,0,Karan,Jain,VCWGM6308F,432258551245,7664702635,karan.jain485@outlook.com,Unknown,606974
53,94714,0,0,1,0,0,Isha,Das,YRETH5759G,233710029671,6544109484,isha.das76@gmail.com,Student,707221
69,87648,0,0,1,1,0,Karan,Gupta,LLWZH6679G,620251464022,9022758112,karan.gupta153@outlook.com,Unknown,129176
21,51495,0,0,1,0,0,Karan,Patel,YNMCB4320V,859962074691,9640336836,karan.patel296@hotmail.com,SelfEmployed,605894
23,90448,0,0,1,0,0,Amit,Mehta,KEJTQ7259O,840677304281,6619274444,amit.mehta149@hotmail.com,Engineer,603945
50,43784,0,0,1,0,0,Vikas,Reddy,SVPRW4437M,431652707783,7405588454,vikas.reddy740@yahoo.com,Farmer,122749
27,27615,1,0,1,0,0,Isha,Nair,WJIST8006J,974068469072,8424611636,isha.nair510@yahoo.com,Teacher,907263
58,74578,1,0,1,0,0,Pooja,Mehta,IPQLG8134H,332608308799,9897282127,pooja.mehta786@yahoo.com,Farmer,902089
59,18334,0,0,1,0,0,Sneha,Nair,FUWJN2199Z,288407266385,6705466589,sneha.nair111@yahoo.com,Trader,607031
57,93984,1,0,1,0,0,Meera,Sharma,BAZDG5339W,947140449034,7806593311,meera.sharma869@hotmail.com,Trader,922089
31,13598,0,0,1,0,0,Priya,Nair,PVGUU5299R,216007231075,6475159078,priya.nair534@outlook.com,Teacher,117215
19,23945,1,1,1,0,1,Aditya,Nair,PBHQO3954T,471685848483,6332964004,aditya.nair763@outlook.com,SelfEmployed,908417
21,94414,0,0,1,0,0,Karan,Yadav,JPFRF1837S,245766566602,8931160790,karan.yadav544@yahoo.com,Engineer,124894
47,97363,0,0,1,0,0,Raj,Jain,TBCLL6425L,426460350321,8214415256,raj.jain363@gmail.com,Teacher,403775
20,122352,0,0,1,1,0,Raj,Das,CAIUQ8908H,440872706517,8788211676,raj.das182@hotmail.com,Broker,114034
66,125677,1,0,1,1,0,Aditya,Reddy,LHHBN3408C,690535970951,9594889060,aditya.reddy725@hotmail.com,Cash,926939
51,49614,0,1,1,1,1,Aditya,Yadav,IIOKG8961C,513963593378,6643312942,aditya.yadav141@yahoo.com,Unknown,703243
68,34513,1,0,1,1,1,Priya,Singh,PEESQ9703X,242745384839,9423598812,priya.singh657@hotmail.com,Cash,917880
24,143242,0,0,1,0,0,Neha,Yadav,XVXYK3330H,098671286174,6902196472,neha.yadav125@gmail.com,Doctor,122729
58,127829,0,0,1,0,0,Pooja,Jain,HAJOE6539R,595346920737,6773058174,pooja.jain713@hotmail.com,Farmer,121950
22,127977,0,0,0,0,0,Anjali,Gupta,OGTEJ7831L,444931637204,9685306364,anjali.gupta707@hotmail.com,Trader,112010
20,100421,1,0,1,0,0,Neha,Mehta,NTEAW6412U,335669375536,7901591772,neha.mehta627@outlook.com,Teacher,929299
25,43580,0,0,1,1,0,Meera,Verma,OHHES7132G,724354918037,9578096463,meera.verma900@yahoo.com,Cash,124840
50,22526,0,0,0,0,0,Karan,Jain,XVGQO1355F,551693908097,8674646294,karan.jain825@hotmail.com,Student,125319
22,23705,0,0,1,1,0,Simran,Mehta,ZIKTN1214E,023628135374,9430959230,simran.mehta507@hotmail.com,Cash,404426
18,36179,0,0,1,0,0,Simran,Yadav,FOBNT2961D,373971550134,9181933685,simran.yadav520@hotmail.com,Engineer,801234
70,12361,0,0,1,0,0,Simran,Mehta,RZPFB4577M,160910316479,6755943945,simran.mehta560@outlook.com,Engineer,703143
48,58400,0,0,1,0,0,Rahul,Reddy,MMOYS2558M,898227342425,8165265604,rahul.reddy735@hotmail.com,Trader,562299
67,44036,0,0,1,0,0,Sneha,Nair,ZIQXC5579F,489087178202,6934658152,sneha.nair829@gmail.com,SelfEmployed,119916
64,128301,0,0,1,0,0,Arjun,Gupta,XVNCR1132I,342355232641,8669329449,arjun.gupta383@hotmail.com,Student,607032
69,65255,0,0,1,0,0,Meera,Yadav,OBONO1351G,748401455630,8875030990,meera.yadav957@hotmail.com,Farmer,566575
44,55181,0,0,1,1,0,Amit,Singh,JCZWD8193E,720026558232,6066982054,amit.singh689@gmail.com,Broker,407964
20,113451,1,0,1,0,0,Pooja,Das,XOPUV2895N,309896449967,8642152281,pooja.das475@gmail.com,Farmer,902280
53,146934,0,0,1,0,0,Isha,Jain,SEGRP8177R,229392177796,7323246338,isha.jain478@gmail.com,SelfEmployed,403230
31,105178,0,0,1,0,0,Meera,Kumar,SHFFO2593Y,896417174956,6580800160,meera.kumar155@gmail.com,Trader,704521
47,105832,0,1,1,0,0,Vikas,Yadav,KASNH5649F,101158233459,7280960434,vikas.yadav653@gmail.com,SelfEmployed,116664
49,121746,0,0,1,0,0,Anjali,Patel,ROHYR2561K,021889255865,9719759048,anjali.patel349@hotmail.com,Engineer,705805
58,79651,1,0,1,1,1,Arjun,Sharma,QUSCE7673D,094710455105,8804775925,arjun.sharma702@hotmail.com,Unknown,904394
35,86939,0,0,1,0,0,Anjali,Gupta,YSMQL1038M,833889139239,8264523831,anjali.gupta578@yahoo.com,SelfEmployed,604044
67,15055,1,0,1,0,0,Anjali,Nair,KMQGR7709P,559840978591,7636096379,anjali.nair441@gmail.com,Teacher,909278
34,66196,1,0,1,1,1,Rohit,Patel,PNIAC4919E,337530740070,8661921159,rohit.patel238@hotmail.com,Cash,917562
58,121281,0,1,1,1,1,Anjali,Gupta,HSUPU5311V,856565386872,6632131355,anjali.gupta434@yahoo.com,Broker,800615
52,53412,1,1,1,1,1,Meera,Nair,ADVZN4648P,157202275745,6259577424,meera.nair754@yahoo.com,Unknown,911218
46,76895,0,0,1,0,0,Simran,Sharma,RWPLQ7885R,253722896097,6981827876,simran.sharma502@yahoo.com,Student,708081
44,106349,1,0,1,0,0,Rahul,Nair,LMPWW0966C,739843251878,6068091494,rahul.nair706@yahoo.com,Trader,900774
35,32468,0,0,1,1,0,Simran,Gupta,TLCCF0554A,689410371381,7660561327,simran.gupta942@hotmail.com,Broker,702391
23,34336,0,0,1,1,0,Aditya,Verma,QGPSH9088G,557208941455,6991853679,aditya.verma789@gmail.com,Cash,407539
22,11615,0,0,1,0,0,Rohit,Reddy,KSCNQ2352Z,135766349229,6463771771,rohit.reddy976@outlook.com,Trader,602993
41,41274,0,0,1,1,0,Rahul,Gupta,SOCLJ4532D,861708003919,6597434720,rahul.gupta382@gmail.com,Broker,607183
32,143207,0,0,1,0,0,Amit,Gupta,AFOHQ4547G,757190566037,9871524097,amit.gupta96@gmail.com,Trader,119042
44,105646,1,1,1,1,1,Pooja,Yadav,LZGGI8773I,291711431374,9211686083,pooja.yadav94@yahoo.com,Broker,909001
50,20832,0,0,1,0,0,Neha,Jain,CCUDB7214V,665280094198,8190947434,neha.jain363@yahoo.com,SelfEmployed,602904
35,124919,0,0,1,1,0,Anjali,Singh,CJKQU2950M,735495313287,6843521225,anjali.singh811@gmail.com,Broker,400622
69,109822,0,0,1,1,0,Pooja,Reddy,XASYO5198P,510060436831,8017115307,pooja.reddy679@hotmail.com,Cash,709912
37,92568,0,0,1,0,0,Sneha,Kumar,ZSYUF5136E,107587513866,6917291807,sneha.kumar655@outlook.com,SelfEmployed,409746
34,62967,0,0,1,0,0,Aditya,Sharma,ZWMJO1486V,247002138109,6398746640,aditya.sharma340@yahoo.com,Engineer,566377
62,149590,0,0,1,0,0,Vikas,Jain,JLHRP1012C,417482633310,9422076035,vikas.jain995@yahoo.com,Farmer,606203
70,144991,0,0,1,0,0,Amit,Jain,XSNXU6617F,912100628153,6055859075,amit.jain801@hotmail.com,Student,809695
27,46849,1,0,1,1,1,Sneha,Jain,WWWGR5414T,660832798083,8886923773,sneha.jain747@hotmail.com,Unknown,925799
46,63414,0,0,1,0,0,Priya,Verma,SKUNO1820B,497285610351,9531876231,priya.verma586@yahoo.com,Farmer,807788
32,62193,0,0,1,0,0,Pooja,Nair,EUFPY7728L,423565099855,8210968278,pooja.nair306@yahoo.com,Engineer,606589
66,70993,0,0,1,0,0,Karan,Yadav,ZGKKA7517H,664933165247,7986228483,karan.yadav600@outlook.com,Doctor,118866
48,22071,1,0,1,0,0,Aditya,Patel,HBWDF4594K,810393042751,6144440579,aditya.patel914@outlook.com,Teacher,925641
61,9081,0,0,1,0,0,Vikas,Sharma,VHHSP3893P,319942717513,6367650180,vikas.sharma119@hotmail.com,Farmer,562831
25,74253,1,0,1,1,1,Aditya,Jain,HPDVC7111G,678934159642,6698610571,aditya.jain263@yahoo.com,Broker,907260
34,129707,0,0,1,1,0,Aditya,Singh,WXADQ3892X,081492387671,6981945467,aditya.singh627@gmail.com,Cash,110102
49,37605,0,0,1,0,0,Karan,Mehta,OZRIN7062L,661886095441,9332553804,karan.mehta587@hotmail.com,Farmer,804060
46,90853,0,0,1,0,0,Priya,Mehta,CPQHN2693B,883757340603,8531848742,priya.mehta201@yahoo.com,Engineer,129704
31,127811,0,0,1,1,0,Sneha,Jain,LPNZA7545Q,796181663846,7299414772,sneha.jain719@outlook.com,Unknown,567149
31,84173,0,0,1,0,0,Vikas,Verma,IDJMO6478J,840130027961,6627081878,vikas.verma761@hotmail.com,Doctor,709179
68,83402,0,0,1,1,0,Pooja,Yadav,TFWWL2673S,567921611534,8152371130,pooja.yadav955@outlook.com,Cash,119399
